original,short,category
I enjoy listening to music.,Music,MuP - general
I prefer.,Slow songs or fast songs,MuP - general
"Dance, Disco, Funk",Dance,MuP
Folk music,Folk,MuP
Country,Country,MuP
Classical,Classical music,MuP
Musicals,Musical,MuP
Pop,Pop,MuP
Rock,Rock,MuP
"Metal, Hard rock",Metal or Hardrock,MuP
Punk,Punk,MuP
"Hip hop, Rap","Hiphop, Rap",MuP
"Reggae, Ska","Reggae, Ska",MuP
"Swing, Jazz","Swing, Jazz",MuP
Rock n Roll,Rock n roll,MuP
Alternative music,Alternative,MuP
Latin,Latino,MuP
"Techno, Trance","Techno, Trance",MuP
Opera,Opera,MuP
I really enjoy watching movies.,Movies,MoP - general
Horror movies,Horror,MoP
Thriller movies,Thriller,MoP
Comedies,Comedy,MoP
Romantic movies,Romantic,MoP
Sci-fi movies,Sci-fi,MoP
War movies,War,MoP
Tales,Fantasy/Fairy tales,MoP
Cartoons,Animated,MoP
Documentaries,Documentary,MoP
Western movies,Western,MoP
Action movies,Action,MoP
History,History,H&I
Psychology,Psychology,H&I
Politics,Politics,H&I
Mathematics,Mathematics,H&I
Physics,Physics,H&I
Internet,Internet,H&I
"PC Software, Hardware",PC,H&I
"Economy, Management",Economy Management,H&I
Biology,Biology,H&I
Chemistry,Chemistry,H&I
Poetry reading,Reading,H&I
Geography,Geography,H&I
Foreign languages,Foreign languages,H&I
Medicine,Medicine,H&I
Law,Law,H&I
Cars,Cars,H&I
Art,Art exhibitions,H&I
Religion,Religion,H&I
Outdoor activities,"Countryside, outdoors",H&I
Dancing,Dancing,H&I
Playing musical instruments,Musical instruments,H&I
Poetry writing,Writing,H&I
Sport and leisure activities,Passive sport,H&I
Sport at competitive level,Active sport,H&I
Gardening,Gardening,H&I
Celebrity lifestyle,Celebrities,H&I
Shopping,Shopping,H&I
Science and technology,Science and technology,H&I
Theatre,Theatre,H&I
Socializing,Fun with friends,H&I
Adrenaline sports,Adrenaline sports,H&I
Pets,Pets,H&I
Flying,Flying,Ph
"Thunder, lightning",Storm,Ph
Darkness,Darkness,Ph
Heights,Heights,Ph
Spiders,Spiders,Ph
Snakes,Snakes,Ph
"Rats, mice",Rats,Ph
Ageing,Ageing,Ph
Dangerous dogs,Dangerous dogs,Ph
Public speaking,Fear of public speaking,Ph
Smoking habits,Smoking,HH - Cat
Drinking,Alcohol,HH - Cat
I live a very healthy lifestyle.,Healthy eating,HH
I take notice of what goes on around me.,Daily events,PT
I try to do tasks as soon as possible and not leave them until last minute.,Prioritising workload,PT
I always make a list so I don't forget anything.,Writing notes,PT
I often study or work even in my spare time.,Workaholism,PT
I look at things from all different angles before I go ahead.,Thinking ahead,PT
I believe that bad people will suffer one day and good people will be rewarded.,Final judgement,PT
I am reliable at work and always complete all tasks given to me.,Reliability,PT
I always keep my promises.,Keeping promises,PT
I can fall for someone very quickly and then completely lose interest.,Loss of interest,PT
I would rather have lots of friends than lots of money.,Friends versus money,PT
I always try to be the funniest one.,Funniness,PT
I can be two faced sometimes.,Fake,PT
I damaged things in the past when angry.,Criminal damage,PT
I take my time to make decisions.,Decision making,PT
I always try to vote in elections.,Elections,PT
I often think about and regret the decisions I make.,Self-criticism,PT
I can tell if people listen to me or not when I talk to them.,Judgment calls,PT
I am a hypochondriac.,Hypochondria,PT
I am emphatetic person.,Empathy,PT
I eat because I have to. I don't enjoy food and eat as fast as I can.,Eating to survive,PT
I try to give as much as I can to other people at Christmas.,Giving,PT
I don't like seeing animals suffering.,Compassion to animals,PT
I look after things I have borrowed from others.,Borrowed stuff,PT
I feel lonely in life.,Loneliness,PT
I used to cheat at school.,Cheating in school,PT
I worry about my health.,Health,PT
I wish I could change the past because of the things I have done.,Changing the past,PT
I believe in God.,God,PT
I always have good dreams.,Dreams,PT
I always give to charity.,Charity,PT
I have lots of friends.,Number of friends,PT
Timekeeping.,Punctuality,PT - Cat
Do you lie to others?,Lying,PT - Cat
I am very patient.,Waiting,PT
I can quickly adapt to a new environment.,New environment,PT
My moods change quickly.,Mood swings,PT
I am well mannered and I look after my appearance.,Appearence and gestures,PT
I enjoy meeting new people.,Socializing,PT
I always let other people know about my achievements.,Achievements,PT
I think carefully before answering any important letters.,Responding to a serious letter,PT
I enjoy childrens' company.,Children,PT
I am not afraid to give my opinion if I feel strongly about something.,Assertiveness,PT
I can get angry very easily.,Getting angry,PT
I always make sure I connect with the right people.,Knowing the right people,PT
I have to be well prepared before public speaking.,Public speaking,PT
I will find a fault in myself if people don't like me.,Unpopularity,PT
I cry when I feel down or things don't go the right way.,Life struggles,PT
I am 100% happy with my life.,Happiness in life,PT
I am always full of life and energy.,Energy levels,PT
"I prefer big dangerous dogs to smaller, calmer dogs.",Small - big dogs,PT
I believe all my personality traits are positive.,Personality,PT
If I find something the doesn't belong to me I will hand it in.,Finding lost valuables,PT
I find it very difficult to get up in the morning.,Getting up,PT
I have many different hobbies and interests.,Interests or hobbies,PT
I always listen to my parents' advice.,Parents' advice,PT
I enjoy taking part in surveys.,Questionnaires or polls,PT
How much time do you spend online?,Internet usage,PT - Cat
I save all the money I can.,Finances,SH
I enjoy going to large shopping centres.,Shopping centres,SH
I prefer branded clothing to non branded.,Branded clothing,SH
I spend a lot of money on  partying and socializing.,Entertainment spending,SH
I spend a lot of money on my appearance.,Spending on looks,SH
I spend a lot of money on gadgets.,Spending on gadgets,SH
"I will hapilly pay more money for good, quality or healthy food.",Spending on healthy eating,SH
Age,Age,De - Int
Height,Height,De - Int
Weight,Weight,De - Int
How many siblings do you have?,Number of siblings,De - Int
Gender,Gender,De - Cat
I am,Left - right handed,De - Cat
Highest education achieved,Education,De - Cat
I am the only child,Only child,De - Cat
I spent most of my childhood in a,Village - town,De - Cat
I lived most of my childhood in a,House - block of flats,De - Cat